"UsageDateTime";"ResourceGroup";"ResourceLocation";"MeterCategory";"MeterSubcategory";"MeterName";"InstanceID";"UsageQuantity";"ResourceRate";"PreTaxCost";"Currency"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"BackupAzureVM";"0,01736";"0,0733671";"0,001273652856";"EUR"
"2019-04-01";"Sceno-BackupAzureVM";"EU North";"Backup";"";"Azure VM and on-premises Server Protected Instances";"BackupAzureVM-Vault";"0,016128";"8,433";"0,136007424";"EUR"
"2019-04-02";"Sceno-BackupAzureVM";"EU North";"Backup";"";"Azure VM and on-premises Server Protected Instances";"BackupAzureVM-Vault";"0,016128";"8,433";"0,136007424";"EUR"
"2019-04-03";"Sceno-BackupAzureVM";"EU North";"Backup";"";"Azure VM and on-premises Server Protected Instances";"BackupAzureVM-Vault";"0,016128";"8,433";"0,136007424";"EUR"
"2019-04-04";"Sceno-BackupAzureVM";"EU North";"Backup";"";"Azure VM and on-premises Server Protected Instances";"BackupAzureVM-Vault";"0,016128";"8,433";"0,136007424";"EUR"
"2019-04-05";"Sceno-BackupAzureVM";"EU North";"Backup";"";"Azure VM and on-premises Server Protected Instances";"BackupAzureVM-Vault";"0,016128";"8,433";"0,136007424";"EUR"
"2019-04-06";"Sceno-BackupAzureVM";"EU North";"Backup";"";"Azure VM and on-premises Server Protected Instances";"BackupAzureVM-Vault";"0,016128";"8,433";"0,136007424";"EUR"
"2019-04-07";"Sceno-BackupAzureVM";"EU North";"Backup";"";"Azure VM and on-premises Server Protected Instances";"BackupAzureVM-Vault";"0,016128";"8,433";"0,136007424";"EUR"
"2019-04-08";"Sceno-BackupAzureVM";"EU North";"Backup";"";"Azure VM and on-premises Server Protected Instances";"BackupAzureVM-Vault";"0,016128";"8,433";"0,136007424";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"BackupAzureVM";"24";"0,111315599999926";"2,67157439999822";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"BackupAzureVM";"24";"0,111315599999926";"2,67157439999822";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"BackupAzureVM";"24";"0,111315599999926";"2,67157439999822";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"BackupAzureVM";"23,983353";"0,111315599999926";"2,66972132920502";"EUR"
"2019-04-04";"Sceno-BackupAzureVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"RestoredVM";"1,683347";"0,111315599999926";"0,187382781313075";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"RestoredVM";"4,350007";"0,111315599999926";"0,484223639208877";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"BackupAzureVM";"24";"0,111315599999926";"2,67157439999822";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"BackupAzureVM";"24";"0,111315599999926";"2,67157439999822";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"BackupAzureVM";"24";"0,111315599999926";"2,67157439999822";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Virtual Machines";"Dv2/DSv2 Series Windows";"D2 v2/DS2 v2";"BackupAzureVM";"22";"0,111315599999926";"2,44894319999837";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"BackupAzureVM";"0,024901";"0";"0";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"BackupAzureVM";"0,010208";"0";"0";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"BackupAzureVM";"0,004702";"0";"0";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"BackupAzureVM";"0,032337";"0";"0";"EUR"
"2019-04-04";"Sceno-BackupAzureVM";"EU North";"Bandwidth";"";"Data Transfer In";"RestoredVM";"0,000618";"0";"0";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"RestoredVM";"0,028449";"0";"0";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"BackupAzureVM";"0,024375";"0";"0";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"BackupAzureVM";"0,03286";"0";"0";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"BackupAzureVM";"0,033085";"0";"0";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer In";"BackupAzureVM";"0,005336";"0";"0";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"BackupAzureVM";"0,008066";"0,0733671";"0,0005917790286";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"BackupAzureVM";"0,007967";"0,0733671";"0,0005845156857";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"BackupAzureVM";"0,008047";"0,0733671";"0,0005903850537";"EUR"
"2019-04-04";"Sceno-BackupAzureVM";"EU North";"Bandwidth";"";"Data Transfer Out";"RestoredVM";"0,000949";"0,0733671";"0,0000696253779";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"RestoredVM";"0,001327";"0,0733671";"0,0000973581417";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"BackupAzureVM";"0,007981";"0,0733671";"0,0005855428251";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"BackupAzureVM";"0,008019";"0,0733671";"0,0005883307749";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"BackupAzureVM";"0,00795";"0,0733671";"0,000583268445";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Bandwidth";"";"Data Transfer Out";"BackupAzureVM";"0,007101";"0,0733671";"0,0005209797771";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,0585";"0,0016866";"0,0068450661";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"20,2897";"0,0016866";"0,03422060802";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,0602";"0,0016866";"0,00684793332";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"20,7126";"0,0016866";"0,03493387116";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,0562";"0,0016866";"0,00684118692";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"20,306";"0,0016866";"0,0342480996";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,1212";"0,0016866";"0,00695081592";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"20,4059";"0,0016866";"0,03441659094";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"restoredvm-datadisk-001-20190404-063628";"0,0071";"0,0016866";"0,00001197486";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"restoredvm-osdisk-20190404-063628";"5,759";"0,0016866";"0,0097131294";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,278";"0,0016866";"0,0072152748";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"20,3906";"0,0016866";"0,03439078596";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,0644";"0,0016866";"0,00685501704";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"20,3803";"0,0016866";"0,03437341398";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,0586";"0,0016866";"0,00684523476";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"20,5054";"0,0016866";"0,03458440764";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,0646";"0,0016866";"0,00685535436";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"19,9818";"0,0016866";"0,03370130388";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"restoredvm-datadisk-001-20190404-063628";"0,008334";"8,09568";"0,06746939712";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"restoredvm-osdisk-20190404-063628";"0,008334";"8,09568";"0,06746939712";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,031947";"8,09568";"0,25863268896";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,031947";"8,09568";"0,25863268896";"EUR"
"2019-04-01";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"1,354734";"0,0404784";"0,0548374647456";"EUR"
"2019-04-02";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"1,694862";"0,0404784";"0,0686053019808";"EUR"
"2019-04-03";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"2,037444";"0,0404784";"0,0824724732096";"EUR"
"2019-04-04";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"2,380652";"0,0404784";"0,0963649839168";"EUR"
"2019-04-05";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"2,721684";"0,0404784";"0,1101694136256";"EUR"
"2019-04-06";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"3,06672";"0,0404784";"0,124135918848";"EUR"
"2019-04-07";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"3,410322";"0,0404784";"0,1380443780448";"EUR"
"2019-04-08";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"3,754344";"0,0404784";"0,1519698381696";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,888744";"0,1113156";"0,0989310716064";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,02757";"0,1113156";"0,003068971092";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,888744";"0,1113156";"0,0989310716064";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,026268";"0,1113156";"0,0029240381808";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,888744";"0,1113156";"0,0989310716064";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,027098";"0,1113156";"0,0030164301288";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,888744";"0,1113156";"0,0989310716064";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,02813";"0,1113156";"0,003131307828";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,8898";"0,1113156";"0,09904862088";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,032212";"0,1113156";"0,0035856981072";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,890616";"0,1113156";"0,0991394544096";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,036254";"0,1113156";"0,0040356357624";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,890376";"0,1113156";"0,0991127386656";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,036882";"0,1113156";"0,0041055419592";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,861203";"0,1113156";"0,0958653286668";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,03779";"0,1113156";"0,004206616524";"EUR"
